model,file,si_sdr_clean_vs_enh,lsd_clean_vs_enh,dur_s
ulunas,p225_008_mic1-59f91c49779a-91837fa46750.wav,31.4908,3.4789,7.648
ulunas,p225_046_mic2-da535b0a1810-0c5e94966c09.wav,24.6435,5.2504,3.16
ulunas,p225_264_mic2-66e13cbe7664-603f92effc5c.wav,27.4216,5.7144,3.664
ulunas,p227_027_mic1-12a90df9c17b-4595663829b8.wav,29.7121,5.696,3.033
ulunas,p227_086_mic1-f8cebac24ffb-b153d12f39c0.wav,24.8374,4.4204,3.071
ulunas,p227_236_mic1-54a48991de5d-fecf7711eeec.wav,22.5734,5.2436,3.649
ulunas,p227_357_mic1-53509e8e5c46-e5ea89bc3663.wav,29.1203,4.3943,4.573
ulunas,p228_012_mic2-b9d89ff8c2e3-122d9b92008f.wav,21.7246,5.3712,5.099
ulunas,p228_077_mic2-9e4995b9a63c-084ecf6a0417.wav,27.7368,7.6064,3.45
ulunas,p228_084_mic2-5ffb128688c2-acfd6b5f3163.wav,30.0249,4.9555,4.611
ulunas,p228_115_mic2-75446df0418c-f4558b4ef84d.wav,20.8441,6.6304,3.542
ulunas,p228_177_mic2-730112f85b97-bf911a1752d7.wav,28.1523,6.0389,3.259
ulunas,p228_178_mic2-5c256c52fae5-fc29a34f1764.wav,25.2058,6.2984,3.894
ulunas,p228_212_mic2-df6d3e0199fa-86687bc87d39.wav,28.8541,7.5897,3.133
ulunas,p228_224_mic2-85c2c4f5d874-2610f979d573.wav,31.3044,6.4781,4.771
ulunas,p228_256_mic2-6bdc7136c06f-77a70a91d188.wav,29.5142,7.3053,4.811
ulunas,p228_313_mic2-9f808a4d5adb-ce1322a1229e.wav,20.2562,5.6063,4.439
ulunas,p228_345_mic2-3f047d50bb75-99dbe688b1eb.wav,14.5147,5.3804,4.515
ulunas,p229_023_mic2-f27ec6b01281-722b381fcd96.wav,28.5058,4.2549,10.803
ulunas,p229_079_mic2-34e786947658-8adf8b08763f.wav,28.6261,6.1696,4.173
ulunas,p229_139_mic2-a943166db5c5-ca451b7068d2.wav,27.766,6.1218,3.204
ulunas,p229_149_mic2-5f4be6d5bf30-1064bc84d395.wav,27.557,5.48,3.954
ulunas,p229_238_mic2-b59a55a36a05-3d510ca879a2.wav,29.5807,5.856,3.928
ulunas,p229_246_mic2-de9cc77242ad-2c9f8017b2f1.wav,24.4305,6.973,3.59
ulunas,p229_253_mic2-ee24e2d339fd-c60f57d48cd4.wav,25.4538,6.4721,3.735
ulunas,p229_382_mic2-7ffa4d1a01dc-73786ef65a4d.wav,25.9235,5.8693,3.543
ulunas,p230_024_mic1-8509a33a5312-e0940e9d2f8c.wav,22.8789,5.1212,7.793
ulunas,p230_026_mic2-2da9f4cc6682-20980baa910e.wav,31.0952,5.5345,3.136
ulunas,p230_043_mic2-46dabdda7ced-f6ca90b3be22.wav,25.5722,7.4825,3.165
ulunas,p230_050_mic2-1e7f349e5f6b-cf25da91b0cb.wav,26.0908,4.8375,4.106
ulunas,p230_057_mic2-f2bed977efc9-7d6aa439f112.wav,27.1899,7.7405,4.099
ulunas,p230_066_mic1-40123510c8b6-83eb64cd7d07.wav,22.3548,6.4428,3.321
ulunas,p230_077_mic2-033165b3ba38-37ff8c8119d3.wav,28.5098,5.3298,3.203
ulunas,p230_125_mic2-60f63636436c-48b15925e06b.wav,27.6072,7.3908,5.124
ulunas,p230_174_mic2-fcec544d0c73-4f30543c208a.wav,22.3787,7.5069,3.358
ulunas,p230_234_mic2-a0990bcde0ac-133cba00c3ed.wav,20.6353,6.4133,3.758
ulunas,p230_243_mic2-836ddfeb0fcb-65c1ad4ef3dd.wav,17.7819,7.335,3.917
ulunas,p232_017_mic2-314229618b2a-e912e75680f0.wav,31.3231,6.3308,3.265
ulunas,p232_021_mic2-2a3b99252050-1f83e3af0926.wav,32.0329,4.6015,8.892
ulunas,p232_061_mic1-0430dec85adf-6d92b89ae58d.wav,30.534,4.5426,3.619
ulunas,p232_114_mic2-a789dc404e37-87c92614e934.wav,37.6001,6.1168,3.55
ulunas,p232_362_mic2-85db8ac6e950-9be7f1a12c71.wav,29.5596,4.4894,3.216
ulunas,p233_017_mic2-08028eff2337-7d6e9e917a12.wav,23.7668,5.3273,4.798
ulunas,p233_024_mic2-ead3ba148063-3bd5436c1ed9.wav,27.5016,5.7232,6.758
ulunas,p233_047_mic1-6c3e4a1303d4-a461e3af2987.wav,21.1618,5.9079,4.128
ulunas,p233_051_mic1-61314cbff34e-920db54ba4d7.wav,24.4474,5.6395,4.053
