track,cond,model,si_sdr_base,si_sdr_enh,pesq_base,pesq_enh,dur_s
track_1,noise,gtcrn,18.020275,23.50567,1.8926262855529785,2.9216480255126953,3.024
track_1,noise,gtcrn,19.318298,20.702599,2.9572322368621826,3.596308946609497,4.928
track_1,noise,gtcrn,31.71757,31.066256,4.0333380699157715,4.257269382476807,4.4
track_1,noise,gtcrn,20.517435,20.818558,2.049868106842041,2.8203554153442383,4.576
track_1,noise,gtcrn,19.05875,21.740002,1.7314214706420898,2.7772343158721924,8.288
track_1,noise,gtcrn,25.07946,25.229557,4.266061782836914,4.402019500732422,4.432
track_1,noise,gtcrn,19.83805,21.988756,2.542224884033203,3.461716651916504,7.2
track_1,noise,gtcrn,20.498444,23.040443,1.381270170211792,2.3852646350860596,6.4
track_1,noise,gtcrn,25.238712,24.604233,2.826922655105591,3.696760416030884,4.784
track_1,noise,gtcrn,19.43064,20.599394,2.077855348587036,2.7938196659088135,3.904
track_1,noise,gtcrn,21.945322,22.142536,2.6336166858673096,3.2737114429473877,5.968
track_1,noise,gtcrn,14.541222,17.182304,1.805084466934204,2.4369916915893555,4.992
track_1,noise,gtcrn,15.36095,19.453226,1.2048799991607666,2.6072235107421875,7.984
track_1,noise,gtcrn,6.7075086,13.779544,1.169541597366333,1.8349007368087769,8.16
track_1,noise,gtcrn,12.857357,18.157001,1.3047267198562622,2.3855974674224854,8.848
track_1,noise,gtcrn,20.988834,23.5882,3.162278413772583,3.776033401489258,5.184
track_1,noise,gtcrn,17.990475,20.347921,1.8520219326019287,2.7193479537963867,6.32
track_1,noise,gtcrn,20.662298,22.554438,2.065302610397339,3.216407060623169,5.328
track_1,noise,gtcrn,18.648964,20.158451,2.5099101066589355,2.8748960494995117,4.496
track_1,noise,gtcrn,21.160198,24.546513,2.5076255798339844,3.559253215789795,6.768
track_1,noise,gtcrn,21.869751,22.362509,3.0500173568725586,3.598149299621582,4.928
track_1,noise,gtcrn,14.747232,22.28133,2.757720470428467,3.3265340328216553,4.496
track_1,noise,gtcrn,32.78537,24.543592,3.0761842727661133,3.5522842407226562,4.928
track_1,noise,gtcrn,22.415178,25.46028,2.518540859222412,3.822540283203125,3.216
track_1,noise,gtcrn,31.34617,28.318619,3.7356510162353516,3.745861768722534,8.864
track_1,noise,gtcrn,22.184868,23.067339,2.6586081981658936,3.3416500091552734,7.024
track_1,noise,gtcrn,19.32666,22.686695,2.4995946884155273,3.504211902618408,9.904
track_1,noise,gtcrn,14.33255,18.977314,1.4293769598007202,2.591315984725952,8.16
track_1,noise,gtcrn,13.855074,16.671894,1.4777103662490845,2.186619520187378,8.08
track_1,noise,gtcrn,24.041096,21.922081,2.8716039657592773,2.8854575157165527,3.776
track_1,noise,gtcrn,21.25272,21.458826,2.2784788608551025,2.923163890838623,3.296
track_1,noise,gtcrn,16.739048,22.734383,2.412719249725342,3.06327748298645,5.728
track_1,noise,gtcrn,30.062222,31.25946,3.277585983276367,3.703878164291382,9.856
track_1,noise,gtcrn,21.0564,23.580975,2.3083674907684326,3.141629457473755,7.632
track_1,noise,gtcrn,22.234596,23.011597,2.614447832107544,3.055792808532715,9.488
track_1,noise,gtcrn,15.221429,22.741346,1.54741370677948,3.2427122592926025,9.936
track_1,noise,gtcrn,21.608744,23.55529,1.834519386291504,3.068373680114746,8.736
track_1,noise,gtcrn,19.02758,18.264088,1.6348776817321777,2.5685527324676514,3.168
track_1,noise,gtcrn,17.722794,19.045692,1.2694900035858154,1.7858216762542725,5.632
track_1,noise,gtcrn,23.860554,24.990181,2.306401252746582,3.3792755603790283,3.248
track_1,noise,gtcrn,21.098202,26.550724,2.2944729328155518,3.892413377761841,8.656
track_1,noise,gtcrn,16.514103,19.645096,1.4084477424621582,2.194981098175049,6.0
track_1,noise,gtcrn,17.414457,21.477142,1.5997562408447266,2.524228811264038,5.456
track_1,noise,gtcrn,18.577509,20.580223,2.1911776065826416,2.9973981380462646,6.608
